Player,Pos,3P,2P,TRB,AST,STL,BLK
Jordan Poole\poolejo01,SG,97,108,92,99,26,9
Kevin Porter Jr.\porteke02,SG,50,106,99,164,19,8
Bobby Portis\portibo01,C,74,239,466,71,52,26
Kristaps Porziņģis\porzikr01,C,97,228,381,68,20,58
Dwight Powell\poweldw01,C,5,115,234,63,36,30
Norman Powell\powelno01,SG,118,164,126,77,47,8
Payton Pritchard\pritcpa01,SG,102,82,158,120,37,9
Jahmi'us Ramsey\ramseja01,SG,5,10,10,6,4,1
J.J. Redick\redicjj01,SG,66,40,64,51,11,3
J.J. Redick\redicjj01,SG,51,36,52,40,9,2
J.J. Redick\redicjj01,SG,15,4,12,11,2,1
Naz Reid\reidna01,C,61,243,322,72,34,76
Josh Richardson\richajo01,SG,88,176,195,153,61,24
Austin Rivers\riverau01,SG,55,49,82,81,30,2
Austin Rivers\riverau01,SG,28,30,47,42,12,0
Austin Rivers\riverau01,SG,27,19,35,39,18,2
Andre Roberson\roberan03,SG,1,1,15,4,3,1
Jerome Robinson\robinje01,SG,11,17,38,25,12,6
Mitchell Robinson\robinmi01,C,0,115,252,17,35,45
Terrence Ross\rosste01,SG,89,165,158,108,47,21
Terry Rozier\roziete01,SG,222,288,302,293,87,26
Dario Šarić\saricda01,C,47,106,190,65,30,4
Tomáš Satoranský\satorto01,SG,42,127,142,271,40,14
Dennis Schröder\schrode01,SG,71,261,211,351,70,13
Jay Scrubb\scrubja01,SG,2,12,14,1,4,0
Collin Sexton\sextoco01,SG,98,427,187,262,62,10
Landry Shamet\shamela01,SG,129,57,112,99,31,10
Iman Shumpert\shumpim01,SG,0,1,1,0,1,0
Anfernee Simons\simonan01,SG,120,48,140,89,18,8
Deividas Sirvydis\sirvyde01,SG,10,4,29,5,2,0
Tony Snell\snellto01,SG,62,26,112,59,13,11
Ray Spalding\spaldra01,C,0,2,4,0,0,2
Cassius Stanley\stanlca01,SG,3,10,20,1,1,2
Isaiah Stewart\stewais01,C,21,205,453,59,39,86
Edmond Sumner\sumneed01,SG,35,113,94,49,33,10
Garrett Temple\templga01,SG,67,91,160,124,43,30
Daniel Theis\theisda01,C,49,203,356,108,41,57
Daniel Theis\theisda01,C,33,126,220,67,25,43
Daniel Theis\theisda01,C,16,77,136,41,16,14
Brodric Thomas\thomabr01,SG,16,23,53,30,15,10
Brodric Thomas\thomabr01,SG,1,1,4,4,1,1
Brodric Thomas\thomabr01,SG,15,22,49,26,14,9
Khyri Thomas\thomakh01,SG,9,23,18,25,9,6
Matt Thomas\thomama02,SG,27,23,44,19,4,0
Matt Thomas\thomama02,SG,17,7,21,9,2,0
Matt Thomas\thomama02,SG,10,16,23,10,2,0
Sindarius Thornwell\thornsi01,SG,7,8,18,21,13,2
Sindarius Thornwell\thornsi01,SG,3,4,5,4,5,1
Sindarius Thornwell\thornsi01,SG,4,4,13,17,8,1
Matisse Thybulle\thybuma01,SG,43,59,124,63,105,71
Killian Tillie\tilliki02,C,10,9,24,8,5,8
Juan Toscano-Anderson\toscaju01,SG,37,84,234,150,41,26
Karl-Anthony Towns\townska01,C,122,303,529,225,39,57
Gary Trent Jr.\trentga02,SG,165,155,152,80,56,10
Gary Trent Jr.\trentga02,SG,121,96,91,58,37,6
Gary Trent Jr.\trentga02,SG,44,59,61,22,19,4
Myles Turner\turnemy01,C,69,137,306,48,40,159
Jonas Valančiūnas\valanjo01,C,21,419,776,112,35,57
Denzel Valentine\valende01,SG,80,75,197,105,30,7
Fred VanVleet\vanvlfr01,SG,174,164,220,328,87,37
Anderson Varejão\varejan01,C,0,4,20,3,0,2
Nikola Vučević\vucevni01,C,176,490,817,269,65,48
Nikola Vučević\vucevni01,C,117,319,517,167,42,28
Nikola Vučević\vucevni01,C,59,171,300,102,23,20
Moritz Wagner\wagnemo01,C,31,73,146,50,26,18
Moritz Wagner\wagnemo01,C,13,49,73,32,22,8
Moritz Wagner\wagnemo01,C,2,2,19,6,0,1
Moritz Wagner\wagnemo01,C,16,22,54,12,4,9
Lonnie Walker\walkelo01,SG,100,156,155,101,29,15
Quinndary Weatherspoon\weathqu01,SG,1,15,11,8,8,2
Derrick White\whitede01,SG,84,102,107,127,26,36
Hassan Whiteside\whiteha01,C,0,126,215,20,9,46
Robert Williams\williro04,C,0,186,358,94,43,91
James Wiseman\wisemja01,C,12,179,226,26,11,36
Christian Wood\woodch01,C,77,252,395,71,34,48
Delon Wright\wrighde01,SG,31,105,164,181,58,19
Cody Zeller\zelleco01,C,4,177,328,86,27,17
Ivica Zubac\zubaciv01,C,1,256,519,90,24,62
